,label,character
266,fa_i,फि
267,fa_ii,फी
268,fa_u,फु
269,fa_uu,फू
270,fa_e,फे
271,fa_ai,फै
272,fa_o,फो
273,fa_au,फौ
274,fa_am,फं
275,fa_ah,फः
276,ba,ब
277,ba_aa,बा
278,ba_i,बि
279,ba_ii,बी
280,ba_u,बु
281,ba_uu,बू
282,ba_e,बे
283,ba_ai,बै
284,ba_o,बो
285,ba_au,बौ
286,ba_am,बं
287,ba_ah,बः
288,bha,भ
289,bha_aa,भा
290,bha_i,भि
291,bha_ii,भी
292,bha_u,भु
293,bha_uu,भू
294,bha_e,भे
295,bha_ai,भै
296,bha_o,भो
297,bha_au,भौ
298,bha_am,भं
299,bha_ah,भः
300,ma,म
301,ma_aa,मा
302,ma_i,मि
303,ma_ii,मी
304,ma_u,मु
305,ma_uu,मू
306,ma_e,मे
307,ma_ai,मै
308,ma_o,मो
309,ma_au,मौ
310,ma_am,मं
311,ma_ah,मः
312,ya,य
313,ya_aa,या
314,ya_i,यि
315,ya_ii,यी
316,ya_u,यु
317,ya_uu,यू
318,ya_e,ये
319,ya_ai,यै
320,ya_o,यो
321,ya_au,यौ
322,ya_am,यं
323,ya_ah,यः
324,ra,र
325,ra_aa,रा
326,ra_i,रि
327,ra_ii,री
328,ra_u,रु
329,ra_uu,रू
330,ra_e,रे
331,ra_ai,रै
332,ra_o,रो
333,ra_au,रौ
334,ra_am,रं
335,ra_ah,रः
336,la,ल
337,la_aa,ला
338,la_i,लि
339,la_ii,ली
340,la_u,लु
341,la_uu,लू
342,la_e,ले
343,la_ai,लै
344,la_o,लो
345,la_au,लौ
346,la_am,लं
347,la_ah,लः
348,wa,व
349,wa_aa,वा
350,wa_i,वि
351,wa_ii,वी
352,wa_u,वु
353,wa_uu,वू
354,wa_e,वे
355,wa_ai,वै
356,wa_o,वो
357,wa_au,वौ
358,wa_am,वं
359,wa_ah,वः
360,sa,ष
361,sa_aa,षा
362,sa_i,षि
363,sa_ii,षी
364,sa_u,षु
365,sa_uu,षू
366,sa_e,षे
367,sa_ai,षै
368,sa_o,षो
369,sa_au,षौ
370,sa_am,षं
371,sa_ah,षः
372,sha,स
373,sha_aa,सा
374,sha_i,सि
375,sha_ii,सी
376,sha_u,सु
377,sha_uu,सू
378,sha_e,से
379,sha_ai,सै
380,sha_o,सो
381,sha_au,सौ
382,sha_am,सं
383,sha_ah,सः
384,shaa,श
385,shaa_aa,शा
386,shaa_i,शि
387,shaa_ii,शी
388,shaa_u,शु
389,shaa_uu,शू
390,shaa_e,शे
391,shaa_ai,शै
392,shaa_o,शो
393,shaa_au,शौ
394,shaa_am,शं
395,shaa_ah,शः
396,ha,ह
397,ha_aa,हा
398,ha_i,हि
399,ha_ii,ही
400,ha_u,हु
401,ha_uu,हू
402,ha_e,हे
403,ha_ai,है
404,ha_o,हो
405,ha_au,हौ
406,ha_am,हं
407,ha_ah,हः
408,chya,क्ष
409,chya_aa,क्षा
410,chya_i,क्षि
411,chya_ii,क्षी
412,chya_u,क्षु
413,chya_uu,क्षू
414,chya_e,क्षे
415,chya_ai,क्षै
416,chya_o,क्षो
417,chya_au,क्षौ
418,chya_am,क्षं
419,chya_ah,क्षः
420,tra,त्र
421,tra_aa,त्रा
422,tra_i,त्रि
423,tra_ii,त्री
424,tra_u,त्रु
425,tra_uu,त्रू
426,tra_e,त्रे
427,tra_ai,त्रै
428,tra_o,त्रो
429,tra_au,त्रौ
430,tra_am,त्रं
431,tra_ah,त्रः
432,gya,ज्ञ
433,gya_aa,ज्ञा
434,gya_i,ज्ञि
435,gya_ii,ज्ञी
436,gya_u,ज्ञु
437,gya_uu,ज्ञू
438,gya_e,ज्ञे
439,gya_ai,ज्ञै
440,gya_o,ज्ञो
441,gya_au,ज्ञौ
442,gya_am,ज्ञं
443,gya_ah,ज्ञः
